lat,xnagb,xnage,xnagd,xnagf,xnagg,xmzke,xmzkg,xmzkh,xmzkb,xmzkc,pi_ctrl,pi_forc,LGM_forc
-21.0,8.945776367187477,8.671807861328148,8.815014648437511,8.820812988281261,8.841058349609398,11.861004638671886,11.582006835937477,11.576007080078114,12.451171875,11.386749267578125,8.808792114257812,297.068202718099,293.89426879882814
-19.0,9.544775390624977,9.257318115234398,9.461840820312489,9.400842285156273,9.459100341796898,12.405914306640625,12.146203613281273,12.180133056640614,12.978588867187511,11.968243408203136,9.401046752929688,297.68316853841145,294.46534627278646
-17.0,10.130267333984364,9.816137695312477,10.054919433593739,9.971832275390625,10.053741455078125,12.908880615234352,12.666247558593739,12.715649414062511,13.441015624999977,12.496441650390636,9.97320251464842,298.2694051106771,294.98485514322914
-15.0,10.646087646484375,10.34765625,10.60394287109375,10.518341064453125,10.564117431640625,13.406097412109375,13.15179443359375,13.1959228515625,13.913330078125,13.032989501953125,10.496871948242188,298.80470784505206,295.4725341796875
-13.0,11.282415771484352,11.039697265625023,11.29302978515625,11.191192626953125,11.228936767578148,14.142767333984352,13.886926269531273,13.928442382812477,14.659497070312511,13.785260009765636,11.161056518554688,299.4802937825521,296.2073079427083
-11.0,12.014599609375011,11.786633300781261,12.0093994140625,11.924304199218739,11.952239990234375,14.776843261718739,14.505749511718761,14.542327880859375,15.315759277343773,14.410162353515602,11.900616455078136,300.2045552571615,296.82956949869794
-9.0,12.598742675781239,12.385913085937489,12.594165039062489,12.502539062499977,12.534136962890614,15.253247070312511,14.983508300781239,14.992852783203148,15.812255859375,14.867718505859386,12.492327880859364,300.7861877441406,297.2977986653646
-7.0,12.930706787109386,12.739501953125,12.954595947265602,12.825732421874989,12.87310791015625,15.535845947265614,15.281213378906273,15.241455078125,16.08662109375001,15.120074462890614,12.835104370117193,301.1270528157552,297.5741007486979
-5.0,13.046112060546875,12.8538818359375,13.064117431640625,12.90869140625,12.96600341796875,15.607452392578125,15.34564208984375,15.2557373046875,16.083984375,15.131500244140625,12.949996948242188,301.22217814127606,297.62420654296875
-3.0,12.856219482421864,12.588940429687511,12.853277587890602,12.629907226562523,12.67022705078125,15.351934814453102,15.131457519531239,15.001757812499989,15.811694335937489,14.863116455078114,12.722579956054688,300.9603780110677,297.3829793294271
-1.0,12.733471679687511,12.45037841796875,12.768322753906261,12.507971191406227,12.543914794921875,15.180755615234375,15.003076171875023,14.853118896484375,15.653222656250023,14.730871582031227,12.59192504882813,300.8493103027344,297.23357950846355
1.0,13.013220214843727,12.7322998046875,13.033349609375023,12.762365722656227,12.831768798828136,15.458294677734386,15.329113769531261,15.180511474609375,15.989294433593727,15.059924316406239,12.872760009765614,301.11840209960934,297.5439025878906
3.0,13.513085937500023,13.253216552734386,13.473059082031227,13.22076416015625,13.343951416015614,15.998083496093727,15.904406738281239,15.757318115234398,16.609765625000023,15.638275146484375,13.383151245117205,301.58849894205724,298.1078653971354
5.0,13.532958984375,13.356048583984375,13.51275634765625,13.31903076171875,13.456085205078125,16.06280517578125,15.95001220703125,15.759613037109375,16.713623046875,15.716766357421875,13.444503784179688,301.67186482747394,298.14540608723956
7.0,13.411914062499989,13.173529052734352,13.367150878906273,13.232751464843773,13.371319580078136,15.886755371093727,15.655407714843761,15.623236083984352,16.482031249999977,15.549285888671875,13.29272155761717,301.5663146972656,297.9430623372396
9.0,13.366070556640636,13.115649414062489,13.26373291015625,13.158886718750011,13.295874023437477,15.745513916015625,15.441351318359352,15.520587158203114,16.325018310546852,15.471527099609375,13.240859985351562,301.48207194010416,297.7904134114583
11.0,13.182086181640614,12.908984374999989,13.03021240234375,12.963427734374989,13.067919921874989,15.524114990234352,15.199932861328136,15.276861572265602,16.123760986328136,15.268255615234352,13.045535278320301,301.2630940755209,297.5548990885417
13.0,12.954168701171852,12.640832519531273,12.777825927734398,12.761926269531273,12.781451416015614,15.273083496093761,14.99139404296875,14.978692626953148,15.913891601562511,14.992425537109398,12.797500610351562,301.01630859375,297.3023193359375
15.0,13.084075927734375,12.75921630859375,12.901336669921875,12.91949462890625,12.786285400390625,15.20843505859375,15.04412841796875,14.974151611328125,15.885498046875,14.965179443359375,12.921646118164062,301.1116129557292,297.2968343098958
17.0,12.752215576171864,12.53961181640625,12.565936279296864,12.625109863281239,12.556353759765614,14.754797363281227,14.720373535156227,14.597735595703114,15.474707031249977,14.602117919921852,12.645913696289057,300.8250406901041,296.9122314453125
19.0,12.010510253906261,11.875042724609386,11.860681152343773,12.003240966796852,11.870965576171898,14.007733154296886,14.040386962890636,13.976434326171898,14.740789794921852,13.930249023437511,11.942776489257824,300.1542032877604,296.2294474283854
21.0,11.098156738281261,11.022711181640602,10.981298828124977,11.166156005859364,11.003485107421852,13.109759521484364,13.171221923828114,13.168902587890614,13.804290771484375,13.0809326171875,11.060433959960932,299.29288736979163,295.3712239583333
23.0,10.140863037109398,10.144079589843727,10.058081054687477,10.228100585937511,10.1092529296875,12.174041748046875,12.219384765625023,12.256103515625,12.770495605468739,12.162939453124977,10.142471313476562,298.3743855794271,294.4377726236979
25.0,9.150848388671875,9.30487060546875,9.1558837890625,9.3052978515625,9.2255859375,11.284393310546875,11.2308349609375,11.34130859375,11.72943115234375,11.262451171875,9.227859497070312,297.47149658203125,293.50677490234375
27.0,7.708001708984398,7.82684326171875,7.664453125000023,7.879370117187477,7.8035888671875,9.704803466796875,9.667016601562523,9.829980468750023,10.080212402343761,9.720678710937477,7.767422485351574,296.02504475911456,291.9551961263021
29.0,5.948474121093739,6.093676757812489,5.912609863281261,6.193817138671875,6.071813964843727,7.4739990234375,7.432794189453148,7.649859619140614,7.602294921875,7.637792968749977,6.021075439453114,294.30198771158854,289.740146891276
31.0,4.228271484375,4.41156005859375,4.187512207031261,4.485015869140625,4.338220214843773,5.201000976562511,5.178179931640614,5.440570068359364,5.179907226562477,5.503027343749977,4.319915771484375,292.57949015299477,287.49451293945316
33.0,2.5398193359375227,2.7470214843750114,2.4724182128906023,2.7441040039062727,2.6321533203125114,2.8869079589843523,2.9035583496093977,3.2120788574218864,2.8293945312499886,3.3000427246093977,2.643420410156267,290.858799235026,285.22211100260415
